"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-01",,"28.9",,"23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-02",,"29.5",,"25.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-03",,"27.7","32.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-04",,"28.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-05",,"28.0","34.7",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-06",,"27.0","33.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-07",,"27.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-08",,"27.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-10",,"29.1","31.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-11",,"28.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-12",,"28.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-13",,"28.2",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-14",,"28.6",,"23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-15",,"26.8","35.0","23.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-16",,"27.6",,"24.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-17",,"28.0",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-18",,"27.7",,"24.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-19",,"28.2",,"23.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-20",,"26.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-21","1.0","29.2",,"24.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-22","0.0","26.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-23",,"25.9","31.0","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-24",,"27.9",,"23.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-25",,"27.7","31.5","22.2"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-26",,"28.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-27",,"28.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-28",,"27.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-29",,"27.4","30.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-30",,"26.8",,"23.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-05-31",,"28.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-01",,"26.4",,"25.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-02",,"29.1","31.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-03",,"28.8",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-04",,"26.8",,"22.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-05",,"26.4",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-06",,"27.1",,"22.6"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-07",,"26.9","31.7",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-08","0.3","25.2","29.6",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-09","0.0","27.1","31.0","23.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-10",,"27.2","32.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-11",,"24.9","33.2",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-12",,"26.2","30.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-13",,"25.7",,"22.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-14","5.1","26.0",,"24.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-15","0.0","27.7",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-16",,"25.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-17",,"25.6",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-18",,"26.3","30.2","22.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-19","0.0","27.2",,"22.9"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-20",,"26.2","32.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-21",,"26.3",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-22",,"25.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-24",,"24.5","29.3",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-25",,"25.8",,"21.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-26",,"27.1","30.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-27",,"25.4",,"22.7"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-28","0.0","25.9","30.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-29",,"25.5","31.7",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-06-30",,"27.0",,
